221671,P,2000-01-16,34098,5,65.88,6.07,,
221672,P,2002-08-25,77979,5,42.81,0.71,,
221673,P,2001-08-27,42555,9,50.20,8.42,,
221674,P,2001-04-22,57753,3,3.30,5.32,,
221675,P,2000-02-10,80003,9,90.78,6.32,,
221676,P,2000-02-04,81550,6,76.84,9.83,,
221677,P,2001-11-19,53460,7,24.81,3.61,,
221678,P,2001-09-04,51170,10,87.89,8.53,,
221679,P,2000-06-21,42961,7,37.90,4.50,,
221680,P,2000-06-28,4574,5,18.50,7.78,,
221681,P,2001-01-14,19187,9,47.98,5.15,,
221682,P,2002-07-30,19911,6,67.21,4.21,,
221683,P,2000-07-25,3630,9,91.92,6.02,,
221684,P,2000-02-28,41745,8,4.16,5.51,,
221685,P,2002-09-22,76859,3,3.18,9.43,,
221686,P,2001-02-21,14438,8,44.65,5.25,,
221687,P,2002-06-17,66088,8,14.89,8.69,,
221688,P,2000-12-26,91506,6,71.92,5.91,,
221689,P,2001-09-24,18611,2,84.14,6.72,,
221690,P,2001-07-31,56597,6,31.36,2.94,,
221691,P,2001-11-13,48818,3,23.84,0.21,,
221692,P,2001-07-16,23143,7,44.12,8.10,,
221693,P,2001-02-23,75589,10,27.60,4.72,,
221694,P,2002-08-11,70361,5,30.78,3.85,,
221695,P,2000-12-05,38696,3,92.12,4.08,,
221696,P,2002-02-10,81187,10,82.91,0.85,,
221697,P,2000-09-09,52959,5,7.56,7.98,,
221698,P,2001-04-10,93281,10,24.00,0.85,,
221699,P,2000-09-20,38195,3,90.20,6.87,,
221700,P,2000-07-17,43020,7,5.52,9.19,,
221701,P,2001-02-21,39854,5,12.42,6.62,,
221702,P,2001-01-27,82668,6,20.85,7.55,,
221703,P,2001-12-31,19845,2,25.97,4.19,,
221704,P,2000-10-02,23067,8,95.30,2.63,,
221705,P,2002-05-28,11312,2,43.08,3.12,,
221706,P,2001-10-21,52387,6,42.92,0.81,,
221707,P,2002-09-27,31784,7,80.42,6.55,,
221708,P,2000-04-23,39095,7,38.89,7.27,,
221709,P,2001-09-25,77143,2,20.63,8.87,,
221710,P,2000-12-15,73488,9,31.24,9.49,,
221711,P,2002-08-22,6025,2,18.03,5.46,,
221712,P,2000-11-15,82672,8,9.27,0.15,,
221713,P,2001-06-01,83989,6,28.52,3.90,,
221714,P,2001-06-11,93885,9,71.76,5.11,,
221715,P,2002-05-17,23295,7,92.54,1.27,,
221716,P,2000-12-04,13503,3,81.50,0.79,,
221717,P,2001-12-08,80563,3,44.91,6.58,,
221718,P,2001-03-24,44610,4,29.19,9.76,,
221719,P,2001-12-07,6425,2,52.83,8.74,,
221720,P,2001-04-18,72068,5,47.27,6.65,,
221721,P,2000-02-05,68009,10,48.69,5.58,,
221722,P,2000-03-31,48393,8,80.42,5.98,,
221723,P,2000-03-07,4160,5,62.76,4.43,,
221724,P,2001-03-13,96022,10,15.69,6.21,,
221725,P,2000-05-07,45634,3,73.61,2.17,,
221726,P,2000-05-27,62278,10,1.19,5.83,,
221727,P,2000-07-14,43448,9,57.96,2.05,,
221728,P,2000-07-09,21063,8,5.27,7.27,,
221729,P,2001-05-22,19072,10,77.58,6.91,,
221730,P,2001-03-07,28050,10,15.56,6.59,,
221731,P,2000-04-20,18069,2,7.66,0.28,,
221732,P,2001-08-17,6317,4,55.91,9.74,,
221733,P,2002-08-22,9479,8,95.31,1.61,,
221734,P,2000-03-27,10514,9,55.85,1.82,,
221735,P,2001-04-19,86242,9,58.99,6.64,,
221736,P,2000-09-09,77480,8,79.37,7.28,,
