274558,P,2002-04-22,82280,4,55.67,7.76,,
274559,P,2002-09-14,7609,8,48.90,6.11,,
274560,P,2000-12-21,59205,3,96.39,7.99,,
274561,P,2000-08-02,87791,10,12.46,7.15,,
274562,P,2000-06-13,67091,4,60.72,5.93,,
274563,P,2001-12-04,26264,9,37.10,0.98,,
274564,P,2001-12-09,83987,7,25.89,0.01,,
274565,P,2001-11-09,89442,8,3.19,1.12,,
274566,P,2000-12-18,85789,1,32.74,6.34,,
274567,P,2000-10-26,70468,3,18.57,1.39,,
274568,P,2001-10-07,1325,8,37.49,4.15,,
274569,P,2002-01-14,7039,3,24.13,6.67,,
274570,P,2001-06-23,19177,5,99.67,3.96,,
274571,P,2001-01-18,50984,3,87.90,2.51,,
274572,P,2002-07-08,70430,6,88.87,5.28,,
274573,P,2002-01-07,72316,1,50.22,1.89,,
274574,P,2000-08-19,2022,9,45.35,7.96,,
274575,P,2002-06-01,48390,4,51.21,4.16,,
274576,P,2001-04-16,27993,8,27.69,2.22,,
274577,P,2000-07-10,80886,9,47.74,7.98,,
274578,P,2000-06-22,46458,8,91.40,6.34,,
274579,P,2001-08-13,10946,2,6.60,5.77,,
274580,P,2000-11-27,51949,5,53.01,5.56,,
274581,P,2000-01-22,7849,7,64.40,3.88,,
274582,P,2001-10-29,20995,2,34.25,7.17,,
274583,P,2001-01-01,11923,2,32.29,9.66,,
274584,P,2000-07-16,51485,2,0.45,5.80,,
274585,P,2000-08-24,14441,8,97.34,9.92,,
274586,P,2001-10-09,39456,10,56.13,5.72,,
274587,P,2001-08-17,84068,4,76.73,5.11,,
274588,P,2002-08-05,97712,8,18.54,4.05,,
274589,P,2000-02-10,38130,1,12.31,3.38,,
274590,P,2002-09-05,16213,4,44.95,1.95,,
274591,P,2002-05-11,4876,3,68.46,3.68,,
274592,P,2001-05-25,86270,1,48.48,8.96,,
274593,P,2002-05-13,20646,6,89.58,9.09,,
274594,P,2002-06-10,46259,6,21.78,3.56,,
274595,P,2002-03-19,50786,8,84.94,1.59,,
274596,P,2002-06-02,31230,5,49.86,6.79,,
274597,P,2001-04-17,28412,6,19.14,2.80,,
274598,P,2001-08-22,15491,7,65.26,9.98,,
274599,P,2001-06-03,24475,5,32.36,0.51,,
274600,P,2002-05-28,63370,8,90.48,6.67,,
274601,P,2001-09-12,15350,7,65.05,1.65,,
274602,P,2000-12-07,45214,8,31.10,9.21,,
274603,P,2001-11-17,33449,3,40.46,5.49,,
274604,P,2000-05-19,98533,9,22.11,0.37,,
274605,P,2000-09-01,97544,3,42.18,9.17,,
274606,P,2000-01-11,93288,10,22.18,9.97,,
274607,P,2000-08-06,57566,9,73.85,2.10,,
274608,P,2000-08-06,94493,6,63.45,2.35,,
274609,P,2000-01-13,52657,3,74.83,0.41,,
274610,P,2000-01-08,24007,5,38.12,2.65,,
274611,P,2001-07-06,80835,2,94.18,0.88,,
274612,P,2000-11-08,68689,3,0.48,3.60,,
274613,P,2002-02-04,3055,7,66.99,8.22,,
274614,P,2000-07-18,91860,10,89.84,3.94,,
274615,P,2000-10-07,19615,6,23.05,0.79,,
274616,P,2001-12-06,53111,8,57.16,1.37,,
274617,P,2001-06-25,19027,9,55.52,2.87,,
274618,P,2000-11-02,26087,1,0.73,6.82,,
274619,P,2002-03-24,54605,9,91.28,1.38,,
274620,P,2000-08-03,58094,9,19.66,1.13,,
274621,P,2002-02-04,12401,6,85.54,4.42,,
274622,P,2001-08-02,58261,5,15.82,0.85,,
274623,P,2000-08-30,11412,6,31.66,4.07,,
274624,P,2000-08-27,99948,5,23.01,4.39,,
274625,P,2002-04-12,61905,8,48.63,5.34,,
274626,P,2000-06-14,97184,8,88.97,4.42,,
274627,P,2000-12-10,39776,1,79.48,2.76,,
274628,P,2002-06-18,3682,7,56.01,0.97,,
274629,P,2001-10-05,20430,2,58.80,8.20,,
274630,P,2002-06-14,71366,3,63.60,6.70,,
274631,P,2001-07-11,36927,6,54.05,9.13,,
274632,P,2002-06-02,25010,3,82.73,0.73,,
274633,P,2002-04-30,83062,3,86.28,3.50,,
274634,P,2000-11-28,68896,1,26.53,5.88,,
274635,P,2001-06-29,76337,2,10.63,6.73,,
274636,P,2002-07-31,88895,4,72.98,0.65,,
274637,P,2001-08-10,43855,10,4.07,8.95,,
274638,P,2001-01-23,12982,7,61.66,5.41,,
274639,P,2002-06-13,72886,5,4.34,0.13,,
274640,P,2001-03-18,60226,3,53.45,9.49,,
274641,P,2001-08-26,22391,1,34.46,4.43,,
274642,P,2000-01-30,45290,9,40.98,1.96,,
274643,P,2001-07-22,62911,10,84.46,6.78,,
274644,P,2000-04-06,32218,10,88.20,8.90,,
274645,P,2001-05-13,3053,3,45.03,1.97,,
274646,P,2001-05-25,62341,7,62.15,9.86,,
274647,P,2001-11-17,63834,7,23.91,2.17,,
274648,P,2001-08-20,37845,5,92.01,0.89,,
274649,P,2002-09-13,47735,6,59.82,7.94,,
274650,P,2001-07-13,78406,1,98.32,2.67,,
274651,P,2002-03-16,78307,10,11.74,1.83,,
274652,P,2001-12-24,83727,6,47.37,0.73,,
274653,P,2000-11-26,73143,3,28.73,6.82,,
274654,P,2001-03-28,58145,10,39.07,8.47,,
274655,P,2001-12-06,1918,9,81.74,2.18,,
274656,P,2000-09-04,52740,2,8.22,1.30,,
274657,P,2001-07-15,30672,1,1.45,8.56,,
274658,P,2001-07-22,52165,10,81.72,9.86,,
274659,P,2000-08-24,14265,4,99.45,6.00,,
274660,P,2001-06-26,73195,8,94.58,3.97,,
274661,P,2002-07-24,99445,6,65.97,3.75,,
274662,P,2002-01-21,30190,4,69.39,2.77,,
274663,P,2000-01-01,15574,6,55.91,8.31,,
274664,P,2000-06-24,20473,1,18.92,9.77,,
274665,P,2002-01-14,24593,1,42.87,3.55,,
274666,P,2000-01-21,768,1,8.03,5.14,,
274667,P,2001-07-01,29169,10,27.60,2.23,,
274668,P,2001-11-16,91094,4,1.02,8.34,,
274669,P,2001-11-03,10820,6,63.54,1.44,,
274670,P,2001-10-18,13343,6,5.83,2.96,,
274671,P,2000-12-18,96749,9,25.43,9.00,,
274672,P,2000-11-10,15665,1,99.23,7.37,,
274673,P,2002-04-19,47400,9,75.19,4.87,,
274674,P,2000-06-04,58672,7,56.13,3.12,,
274675,P,2000-03-18,84514,10,60.85,0.40,,
274676,P,2001-03-03,1370,10,83.56,9.41,,
274677,P,2000-08-01,55555,4,9.68,3.50,,
274678,P,2002-08-05,14722,5,28.06,5.82,,
274679,P,2000-07-23,50761,10,79.17,2.83,,
274680,P,2002-09-14,87579,9,35.73,5.17,,
274681,P,2000-02-04,38965,9,89.78,7.79,,
274682,P,2000-08-08,25945,9,26.21,9.05,,
274683,P,2002-02-26,48056,2,8.32,7.22,,
274684,P,2000-05-16,47196,6,13.73,6.24,,
274685,P,2001-01-30,46512,7,39.43,3.84,,
274686,P,2000-06-09,77644,5,35.59,0.11,,
274687,P,2000-12-10,50854,8,72.87,2.94,,
274688,P,2000-03-31,68566,2,74.31,4.54,,
274689,P,2000-12-29,78841,8,35.82,1.05,,
274690,P,2000-10-24,79855,9,1.20,5.16,,
274691,P,2000-06-14,46704,8,14.68,1.84,,
274692,P,2002-06-26,83383,1,49.00,3.65,,
274693,P,2002-04-27,32269,8,70.18,6.42,,
274694,P,2001-12-29,17282,10,9.89,4.92,,
274695,P,2001-08-05,88109,8,66.64,9.28,,
274696,P,2001-12-16,8899,4,59.13,1.22,,
274697,P,2000-11-20,98511,9,98.58,0.66,,
274698,P,2001-07-29,37791,5,18.63,4.70,,
274699,P,2001-12-22,49721,8,41.28,1.39,,
274700,P,2001-04-07,75414,2,55.62,3.20,,
274701,P,2002-09-04,70412,1,34.55,0.41,,
274702,P,2000-10-07,83154,7,70.01,8.17,,
274703,P,2002-09-04,71666,1,46.66,0.67,,
274704,P,2002-01-20,53256,9,26.43,1.86,,
274705,P,2000-02-11,70594,3,59.78,4.38,,
274706,P,2001-02-05,87241,1,40.56,9.02,,
274707,P,2001-07-10,39324,3,65.17,9.04,,
274708,P,2001-05-25,10789,3,3.27,7.03,,
274709,P,2001-05-19,70533,2,70.97,0.35,,
274710,P,2002-05-24,22081,6,70.96,9.74,,
274711,P,2001-06-29,32263,1,92.61,9.45,,
274712,P,2002-02-15,33522,2,86.49,6.40,,
274713,P,2000-04-01,35732,4,68.96,1.12,,
274714,P,2002-05-18,38041,1,35.43,1.12,,
274715,P,2001-12-19,2991,7,43.24,5.84,,
274716,P,2000-05-17,66343,8,39.41,6.08,,
274717,P,2001-04-29,4380,9,60.99,2.14,,
274718,P,2000-04-12,47278,9,7.57,4.74,,
274719,P,2000-05-03,29364,4,95.98,7.85,,
274720,P,2002-04-14,65042,2,68.82,0.00,,
274721,P,2002-08-03,87743,3,74.71,6.93,,
274722,P,2001-05-11,35640,2,21.40,2.87,,
274723,P,2002-07-05,20107,9,22.84,9.49,,
274724,P,2000-12-24,6801,1,96.52,4.02,,
